OTUID,006W4,010W4,014W4,015W4,016W4,017W4,018W4,103W4,104W4,105W4,106W4,107W4,108W4,109W4
dd8a09521c78c44b26ce59188b1c1341,0,0,0,0,0,0,0,56,0,0,64,0,0,0
51dfc8e30f17859a5f8d011d1718e6dc,405,75,109,191,0,304,95,0,260,267,0,0,254,0
9348e6e1aa675e632fd5bcaf53208399,353,162,110,119,186,0,210,0,149,124,187,152,211,65
50871ef57b5bd745fc903b8221f46eee,0,0,0,0,0,0,0,0,0,0,0,0,0,36
5bfa6cc0f61bc374074856a27cfe51d6,0,238,0,0,0,0,0,0,0,0,0,0,161,0
078ca2e2199edabd0c9a69d1285ec237,305,0,0,0,0,180,0,121,0,0,0,0,223,0
3d95d9af453da2420df18136607e0274,0,0,76,0,81,419,0,0,0,0,0,0,153,0
b10448cd4124bdfd706450a4189961ef,0,0,165,0,0,154,0,0,291,981,0,224,2305,0
39e4e482fac866fb40dac0bb65fff8c1,132,0,0,0,0,0,0,0,0,57,0,0,0,0
a12e2fa6917f40e375725c9eb63bd598,329,212,66,44,107,0,0,0,110,146,0,86,170,0
e8fb27cdade4f21030ae2ec2c7c5c65a,0,0,0,57,0,0,0,0,99,0,0,0,0,0
5abbeb2b46fb4d461812e6667166aeb6,0,0,0,0,0,0,0,0,0,0,0,137,0,0
09200481c23b5473a5263797322a8ded,0,0,0,57,0,0,0,0,0,0,0,0,0,0
e362ea63ea3ee4c9954475abd6c21df0,0,0,0,0,0,0,0,0,60,0,81,60,0,0
c50e99458383ebf13ec3c37e8bd41b0d,0,0,0,47,111,0,167,0,0,0,66,62,187,0
c505e5292d56c52b738fea0e59cf10d3,303,236,224,72,0,0,0,0,139,0,0,68,166,0
465e917ea06d1ce6ea785d27f0372ef6,0,0,0,0,0,0,0,117,0,0,0,0,0,0
99c02683cc24f7897a97a5538b42dd5f,261,64,103,34,141,93,118,185,388,387,138,273,0,170
fba2c425666cc798aba66b67f343e7cb,151,0,131,0,108,0,99,0,548,566,186,248,0,114
3c7c2bff8010a2df93804ac94513591f,0,117,0,0,59,198,0,47,353,236,289,0,0,0
d3ee07171cd709aca368030b3209f716,189,70,87,62,69,138,105,0,295,341,162,250,113,124
d609fa906223bfb6bb432c6d28154d8d,223,67,0,134,0,307,0,0,134,147,0,0,0,0
