OTUID,S6,S10,S11,S15,S22,S23,S25,S26,S28
5abbeb2b46fb4d461812e6667166aeb6,0,0,0,0,0,31,349,0,172
09200481c23b5473a5263797322a8ded,0,81,0,183,0,0,0,0,0
d4e9b5916b230761f8f166d52791f319,218,0,0,0,0,0,0,0,0
c50e99458383ebf13ec3c37e8bd41b0d,0,0,0,234,0,0,0,0,0
ff74d7b6608aefe8c09ceaaa746bf8ee,0,0,0,0,0,0,49,0,0
c505e5292d56c52b738fea0e59cf10d3,144,0,0,398,0,0,0,0,0
5ae8231c8df25f251314ff0003b99e0d,191,0,0,151,0,0,0,0,0
5db3685b285e906a77e7b54c9151f332,0,0,0,0,0,0,362,26,0
9fdf1635d7652fa403688d0abcdbb3ae,0,0,21,57,0,0,0,0,0
3c7c2bff8010a2df93804ac94513591f,40,0,36,0,0,29,0,0,0
d3ee07171cd709aca368030b3209f716,73,0,0,0,8,0,0,0,46
d609fa906223bfb6bb432c6d28154d8d,0,0,80,0,0,0,0,0,0
4892f891da14927a3757123340696763,227,0,0,0,0,0,0,0,0
b401820c00d0a48d6b3a1cb6c7ffc7c2,0,0,0,72,0,0,0,0,0
ffdae294d23dec8a1057be1c01a82b00,0,0,0,0,0,0,605,0,159
5a94ea9f1f429d628fa9158bcc3f3522,0,0,0,221,0,0,0,0,0
bf0b91f3de23f64092882b9887a3df88,0,0,0,162,0,24,240,0,0
cf49d991671be2cf1108345cb1465669,0,0,0,50,0,0,0,0,0
9ffb5190cf388cbbec7913498475a99c,284,0,0,0,0,0,0,0,0
9d1c28754f7f1e115a943f9933b6e143,154,0,0,101,0,0,0,0,0
b1314ba67a3793fb1e4c677b19108ba9,0,0,32,0,0,0,0,0,0
e59be2f0704f3f609ad33fb05f9c8c3d,0,0,104,0,0,0,0,0,0
642d6fcda91cfd8e1c29e64dc902a4c9,88,0,0,200,0,0,0,0,0
405e7a354649f70e195564833ecc68d9,177,0,0,0,0,0,0,0,0
59b46738c3796eb8a58ef6444318efba,0,0,0,0,0,0,155,0,0
7329dceb679776a78fe337e3ae315163,0,0,0,0,0,263,0,0,0
20d68a0b001be78fb9d679a71bd43f8a,0,0,0,0,29,0,0,0,0
75729107decd79c5d5e090fcf5dd6755,98,0,0,638,0,83,0,0,0
85ced0617efe9c0d6db11469cec5e33f,47,0,0,0,0,9,0,0,0
