OTUI,006W2,012W2,014W2,015W2,016W2,017W2,018W2,103W2,104W2,105W2,107W2,108W2,109W2
51dfc8e30f17859a5f8d011d1718e6dc,253,0,0,0,0,0,0,0,0,0,0,0,0
5bfa6cc0f61bc374074856a27cfe51d6,328,0,0,0,245,0,0,313,0,0,0,0,0
078ca2e2199edabd0c9a69d1285ec237,201,0,42,0,135,0,0,233,0,0,0,0,0
3d95d9af453da2420df18136607e0274,0,0,0,0,325,0,0,301,0,0,0,0,0
b9f6bb04c1f2bf5a64cd07e124bbc6cf,181,0,0,0,803,0,0,0,0,0,0,0,0
4e797f5dc3a0722617983e7a428ead0a,381,0,0,145,0,0,0,177,0,0,0,116,0
b10448cd4124bdfd706450a4189961ef,0,0,0,0,0,0,0,0,0,0,11,0,0
875b7e2636dfa43de39ac0b55525378b,136,0,0,0,602,0,216,0,0,0,0,0,0
39e4e482fac866fb40dac0bb65fff8c1,337,0,207,0,276,0,0,0,0,0,232,0,0
a12e2fa6917f40e375725c9eb63bd598,0,0,0,0,92,0,0,0,0,0,0,0,0
e8fb27cdade4f21030ae2ec2c7c5c65a,219,0,0,0,873,0,0,0,0,0,0,0,0
5abbeb2b46fb4d461812e6667166aeb6,0,0,0,0,0,0,0,0,0,0,0,214,152
09200481c23b5473a5263797322a8ded,0,0,0,0,0,0,0,0,0,0,0,0,377
d4e9b5916b230761f8f166d52791f319,219,0,0,0,243,0,0,0,0,0,73,0,0
e362ea63ea3ee4c9954475abd6c21df0,0,0,0,0,144,0,0,0,0,0,0,0,0
c50e99458383ebf13ec3c37e8bd41b0d,0,0,0,0,210,0,0,0,0,0,0,0,0
ff74d7b6608aefe8c09ceaaa746bf8ee,0,0,0,0,0,0,0,0,0,20,0,0,0
c505e5292d56c52b738fea0e59cf10d3,151,0,0,0,0,0,0,0,0,0,0,0,0
465e917ea06d1ce6ea785d27f0372ef6,259,0,0,0,80,0,0,59,0,0,0,0,0
99c02683cc24f7897a97a5538b42dd5f,0,0,51,0,128,0,0,159,0,0,0,0,0
5ae8231c8df25f251314ff0003b99e0d,0,0,0,0,0,0,0,0,0,0,0,126,0
fba2c425666cc798aba66b67f343e7cb,85,0,0,0,137,0,0,0,0,0,0,0,0
5db3685b285e906a77e7b54c9151f332,0,83,160,0,0,130,0,0,312,259,0,261,156
3c7c2bff8010a2df93804ac94513591f,113,0,0,0,249,0,0,0,0,0,0,0,0
d3ee07171cd709aca368030b3209f716,69,58,0,0,155,0,0,0,0,0,0,0,0
d609fa906223bfb6bb432c6d28154d8d,0,0,0,0,0,0,0,0,0,0,0,44,0
4892f891da14927a3757123340696763,0,100,0,0,0,0,0,0,0,0,0,0,0
7a9f566a4acbab7a0bf11492ac571d34,0,0,0,0,0,0,0,0,0,0,0,0,312
ffdae294d23dec8a1057be1c01a82b00,0,0,0,0,0,0,0,0,0,0,437,98,0
5a94ea9f1f429d628fa9158bcc3f3522,200,0,0,0,77,0,0,0,0,0,0,0,0
4d3daa3c91ad9dda7d2eabc0e1158e4f,0,0,0,0,192,0,0,0,0,0,0,0,28
cf49d991671be2cf1108345cb1465669,0,0,0,0,0,0,0,0,0,0,0,0,254
9ffb5190cf388cbbec7913498475a99c,281,0,0,0,0,0,0,0,0,0,0,0,0
b1314ba67a3793fb1e4c677b19108ba9,111,0,22,0,61,0,0,0,0,0,0,0,0
e59be2f0704f3f609ad33fb05f9c8c3d,125,0,0,0,364,0,0,0,0,0,0,0,0
642d6fcda91cfd8e1c29e64dc902a4c9,198,0,0,0,0,0,0,0,0,0,0,0,0
405e7a354649f70e195564833ecc68d9,88,0,0,0,0,0,0,0,0,0,0,0,0
59b46738c3796eb8a58ef6444318efba,0,0,0,0,108,0,0,0,0,0,0,50,51
7329dceb679776a78fe337e3ae315163,0,0,0,0,0,0,45,0,0,0,0,0,0
75729107decd79c5d5e090fcf5dd6755,0,0,0,0,0,0,0,123,0,0,0,0,0
4584f9eff6a6695ed421f0610f52d1a8,0,0,0,0,48,0,0,0,0,0,0,0,0
7fafc6840f0649b5170fe142f8f936c1,129,0,0,104,0,0,0,0,0,0,0,0,30
929d4e9a806320e6189bad0b6e894de2,63,0,0,0,106,0,0,0,0,0,0,54,20
c5f24fe13978fd95092e795e9e46fc6c,0,0,0,0,0,0,54,0,29,0,0,0,0
cfd37ffa1a70b8fff7b79e58ebcdb405,94,0,0,0,0,0,0,0,0,0,0,0,0
8cad557b7e0fd2b410eac540c11cf0bb,337,0,0,0,0,0,0,0,0,0,152,18,0
fa9bb40f48ae1ef6b0f6494b3abaf8a6,187,0,0,0,160,0,0,0,44,0,0,0,0
feb2dc98b4f1630df7158b754f4486a2,0,0,0,0,110,0,0,0,0,0,0,0,0
